Progeny Sire Dam Phen
1 0 0 -1.536746
2 0 0 +1.709371
3 0 0 -1.669681
4 0 0 +1.060984
5 0 0 -0.282287
6 0 0 -0.768922
7 0 0 +0.089345
8 0 0 +1.790985
9 0 0 -0.086111
10 0 0 -0.255623
11 0 0 +2.328347
12 0 0 +0.918809
13 0 0 +0.538756
14 0 0 -1.646712
15 0 0 -1.825703
16 0 0 -0.290603
17 0 0 +1.233768
18 0 0 -0.603422
19 0 0 -0.834639
20 0 0 -0.235534
21 0 0 +1.254879
22 0 0 -1.194503
23 0 0 -0.002860
24 0 0 -0.852236
25 0 0 +1.427254
26 0 0 +1.093563
27 0 0 +1.854407
28 0 0 -2.248831
29 0 0 +0.492467
30 0 0 +0.268197
31 0 0 -0.807273
32 0 0 -0.714087
33 0 0 +0.475658
34 0 0 +2.846053
35 0 0 +0.292766
36 0 0 -1.437519
37 0 0 -0.158175
38 0 0 -0.682159
39 0 0 +0.535462
40 0 0 -1.384746
41 0 0 -0.692336
42 0 0 +0.398534
43 0 0 +1.260957
44 0 0 -0.516113
45 0 0 +0.892424
46 0 0 -0.546881
47 0 0 -0.678139
48 0 0 +1.570689
49 0 0 -0.048192
50 0 0 +0.475214
51 0 0 -0.597585
52 0 0 +2.068793
53 0 0 -1.649794
54 0 0 +0.999120
55 0 0 +0.224016
56 0 0 -1.646827
57 0 0 +1.267347
58 0 0 -0.977436
59 0 0 -1.814377
60 0 0 -0.680909
61 0 0 -0.447226
62 0 0 +0.350061
63 0 0 +0.957001
64 0 0 +0.905295
65 0 0 +1.658093
66 0 0 +0.207929
67 0 0 +0.042322
68 0 0 -0.346127
69 0 0 -1.736205
70 0 0 -1.398022
71 0 0 +0.032072
72 0 0 -2.515667
73 0 0 -0.192488
74 0 0 +1.520098
75 0 0 -0.694515
76 0 0 +0.888269
77 0 0 -0.873620
78 0 0 -2.284273
79 0 0 +1.303408
80 0 0 +1.235489
81 0 0 +0.232030
82 0 0 -0.377522
83 0 0 +1.586586
84 0 0 -0.205050
85 0 0 +0.968233
86 0 0 -0.948722
87 0 0 +0.917588
88 0 0 +1.648465
89 0 0 -0.595379
90 0 0 +0.914914
91 0 0 -0.593517
92 0 0 -1.509451
93 0 0 +0.582688
94 0 0 -0.142350
95 0 0 -0.764537
96 0 0 +2.214903
97 0 0 -0.128719
98 0 0 -0.267891
99 0 0 -0.579022
100 0 0 -1.002945
101 0 0 +2.029698
102 0 0 +1.575779
103 0 0 -1.416470
104 0 0 +1.084547
105 0 0 +1.015874
106 0 0 +0.360537
107 0 0 -0.684169
108 0 0 -0.370147
109 0 0 +1.085804
110 0 0 -0.400487
111 0 0 +0.003383
112 0 0 +1.704186
113 0 0 +0.933675
114 0 0 -1.265853
115 0 0 -0.370516
116 0 0 +0.698841
117 0 0 +1.924526
118 0 0 -1.007946
119 0 0 +0.184392
120 0 0 -1.261959
121 7 92 +1.003943
122 7 99 +1.961857
123 7 113 -1.830328
124 7 48 -0.675951
125 7 30 +1.387684
126 10 51 -0.487797
127 10 86 -0.325876
128 10 65 -0.626822
129 10 67 +0.362302
130 10 89 +0.983929
131 16 27 +0.764587
132 16 91 -0.088066
133 16 71 +1.402048
134 16 71 +0.151967
135 16 59 -1.266502
136 16 29 -0.476894
137 19 35 -0.189492
138 19 54 +2.241748
139 19 61 +0.494239
140 19 66 +0.969707
141 19 108 +0.114401
142 4 32 +0.651198
143 4 40 +0.833064
144 4 90 +0.288346
145 4 69 +0.540033
146 4 26 +0.855574
147 12 38 +0.036269
148 12 115 +0.325797
149 12 85 -0.598404
150 12 85 -0.390992
151 12 93 +0.322899
152 12 62 +1.408329
153 15 112 -0.232312
154 15 118 -0.021369
155 15 116 -0.930815
156 15 80 -0.712940
157 15 81 +0.273587
158 3 117 -1.905535
159 3 98 -0.272954
160 3 73 -0.245054
161 3 34 +0.454919
162 3 43 +0.502533
163 11 23 +0.502727
164 11 31 -0.938484
165 11 36 +0.894516
166 11 72 +0.564282
167 11 106 -0.112001
168 6 111 +0.745166
169 6 49 -1.176625
170 6 47 +1.184567
171 6 39 +0.493916
172 6 76 +0.129419
173 20 56 -1.090776
174 20 104 +1.198301
175 20 63 +0.576755
176 20 84 +0.072706
177 20 57 -0.471882
178 5 42 -0.499230
179 5 88 +1.660935
180 5 110 +0.049597
181 5 28 -1.971709
182 5 44 -1.708657
183 13 114 -1.621744
184 13 33 +1.812700
185 13 70 -0.817530
186 13 21 +0.195849
187 13 109 +0.222174
188 18 83 +0.559241
189 18 60 -0.784915
190 18 41 +2.063643
191 18 102 -0.664063
192 18 120 +1.390236
193 9 82 -0.223483
194 9 50 +1.602829
195 9 97 +0.757919
196 9 79 -0.026750
197 9 64 +0.345720
198 8 68 +0.045851
199 8 87 +0.605134
200 8 46 +0.402193
201 8 74 +0.779935
202 8 24 -2.414282
203 17 105 +1.689881
204 17 77 -0.126493
205 17 45 +0.351615
206 17 37 +1.003990
207 17 96 +0.950287
208 14 94 -0.351023
209 14 25 -0.949719
210 14 53 -0.825639
211 14 52 -0.531016
212 14 100 -0.489679
213 1 119 -1.183497
214 1 107 -0.767156
215 1 101 -0.407274
216 1 22 -0.455023
217 1 95 -1.700038
218 2 58 -2.489260
219 2 103 +0.107759
220 2 75 +0.729928
221 2 75 +0.796440
222 2 78 +1.218492
223 2 55 -0.917583
224 136 182 -0.819298
225 136 79 -1.174084
226 136 131 -0.811424
227 136 80 -0.333300
228 136 65 -0.527529
229 7 62 -0.322062
230 7 69 -0.338902
231 7 36 +0.854493
232 7 46 +1.483781
233 7 56 +0.225848
234 211 31 -1.501435
235 211 81 -0.062392
236 211 218 +0.153452
237 211 218 -0.074915
238 211 86 +2.471649
239 211 103 +0.760588
240 174 95 -0.950055
241 174 124 -1.490605
242 174 24 -0.839124
243 174 47 -1.473456
244 174 115 -0.647817
245 11 104 -0.726148
246 11 52 +0.851700
247 11 108 +0.865467
248 11 38 +0.398446
249 11 105 +0.854216
250 164 157 -0.173433
251 164 109 +0.921885
252 164 39 -0.713514
253 164 72 +0.646188
254 164 186 +0.872079
255 19 35 +1.291943
256 19 87 +1.153671
257 19 58 +1.344507
258 19 43 -0.976050
259 19 120 +2.568179
260 6 98 +1.343686
261 6 100 +0.505515
262 6 114 -1.014025
263 6 54 +0.202828
264 6 23 +0.789065
265 203 71 -0.078264
266 203 27 +0.994732
267 203 217 -1.566574
268 203 210 +1.798098
269 203 97 +1.459227
270 165 68 +1.811516
271 165 197 -0.214387
272 165 128 +0.516616
273 165 141 +1.005084
274 165 200 -0.484988
275 16 26 +0.423806
276 16 55 +0.831853
277 16 74 -1.652002
278 16 119 -0.114336
279 16 33 -0.706738
280 201 67 -0.170994
281 201 50 +1.627297
282 201 41 -1.522932
283 201 57 -1.230660
284 201 99 +0.467451
285 18 101 +1.387539
286 18 101 +0.452931
287 18 34 +1.561175
288 18 49 -1.226225
289 18 49 -1.702981
290 18 134 -0.837111
291 18 215 +0.748175
292 198 45 -0.158232
293 198 25 +0.082647
294 198 127 +0.733971
295 198 127 -1.212343
296 198 32 -1.125476
297 198 94 -0.438965
298 10 29 +1.664106
299 10 223 -0.264952
300 10 162 +0.267727
301 10 117 +1.732772
302 10 118 -1.231439
303 2 92 +0.801446
304 2 163 -0.255002
305 2 83 +0.955720
306 2 64 -1.884013
307 2 64 +0.027903
308 2 85 +1.042112
309 9 90 -1.085089
310 9 59 +0.060172
311 9 42 +1.707037
312 9 93 -0.934964
